,T_K_calc
0,1167.518517
1,1175.105083
2,1150.573478
3,1148.801511
4,1149.404017
5,1148.61155
6,1148.065284
7,1161.3579
8,1161.309342
9,1162.025766
10,1151.031592
11,1162.930057
12,1155.266072
13,1155.046056
14,1159.169405
15,1156.811798
16,1153.346232
17,1155.292568
18,1158.219615
19,1156.172648
20,1157.642393
21,1156.540832
22,1157.026023
23,1141.66535
24,1138.305854
25,1164.051012
26,1164.571415
27,1155.704827
28,1168.559722
29,1170.616406
30,1176.893524
31,1147.776291
32,1141.873125
33,1149.539848
34,1176.589473
35,1160.985797
36,1157.504058
37,1155.765323
38,1138.934607
39,1138.699423
40,1158.249551
41,1150.242098
42,1171.352398
43,1177.336574
44,1182.020714
45,1189.097273
46,1191.321329
47,1195.274512
48,1159.079593
49,1192.465372
50,1191.612857
51,1169.465171
52,1168.345721
53,1154.078168
54,1194.650957
55,1159.821561
56,1173.220324
57,1172.203133
58,1196.691574
59,1214.90994
60,1201.059825
61,1202.101023
62,1148.134123
63,1160.63269
64,1163.060489
65,1163.959613
66,1180.774772
67,1175.201244
68,1162.334595
69,1141.320756
70,1152.498867
71,1159.95465
